Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
Houston Firefighters' Relief & Retirement Fund,"Houston, USA",US South,-,Public pension fund,Direct allocation,Direct Bitcoin and Ether holdings,Ajit Singh,BTC/ETH purchased via NYDIG,~$25M crypto,Track,K
HTX Ventures (fka Huobi Ventures),Singapore,Asia,-,CVC,Seed/A,exchange-strategic web3 investments,,,~$100M,Track,K
Hub71,"Abu Dhabi, UAE",MEA,-,Accelerator,Pre-seed/seed,Hub71+ Digital Assets ecosystem program,Ahmad Ali Alwan,,~$2B initiative,Track,K
Hudson River Trading (strategic),"New York, USA",NYC,HQ,HFT firm strategic investor,Strategic,HFT firm crypto market-structure stakes,Jason Carroll (co-founder),EDX Markets (via HRT Technology),,Track,K,,verify
Hudson Structured Capital Management (HSCM),"Stamford, USA",US East,-,Asset manager,Venture + liquid,alternatives manager with crypto venture sleeve,Michael Millette (managing partner),BlockFi,,Track,K,,verify
Human Rights Foundation (Bitcoin Development Fund),"New York, USA",NYC,HQ,Nonprofit grant fund,Grants,Bitcoin privacy and censorship-resistance grants,Alex Gladstein (CSO),,,Track,K
Hut 8 (strategic),"Miami, USA",US South,-,Miner strategic / incubation,Incubation/Growth,"Power, mining platforms, venture incubation",Asher Genoot,"American Bitcoin, Highrise AI",,Track,K
Hutt Capital,"Portland, USA",US West,-,FoF,Multi-stage,blockchain VC fund-of-funds,Brooke Pollack,,,Track,K
HYBE,"Seoul, South Korea",Asia,-,CVC,Growth,fan economy; Upbit NFT JV,Bang Si-hyuk,Dunamu (Upbit operator),,Track,K,,verify
Hyper Foundation,Remote,Global,-,Ecosystem foundation,Grants,Hyperliquid ecosystem support,Jeff Yan (Hyperliquid co-founder),,,Track,K,,verify
Hyperchain Capital,Singapore,Asia,-,Crypto fund,Early/token,"digital asset fund, layer-1 tokens",Stelian Balta (founder),"Tezos, Fantom",,Track,K
Hyperithm,"Tokyo, Japan",Asia,-,Digital asset manager / investor,Early + liquid,"Institutional crypto management, DeFi venture deals","Oh Sang-rok, Lloyd Lee (co-CEOs)",,,Track,K,,verify
Hypersphere Ventures,Remote,US Remote,-,Crypto-native VC,Pre-seed/seed,Polkadot/Substrate ecosystem investing,Jack Platts,,,Track,K,,verify
iAngels,"Tel Aviv, Israel",MEA,-,Generalist w/ crypto,Seed/A,"angel co-investment platform, some crypto deals","Mor Assia, Shelly Hod Moyal",,,Track,K,,verify
Icebreaker.vc,"Helsinki, Finland",Europe,-,Generalist w/ crypto,Pre-seed/seed,Finnish/Baltic pre-seed; select web3,Riku Seppälä,Single.Earth,,Track,K
Icehouse Ventures,"Auckland, New Zealand",Oceania,-,Generalist w/ crypto,Pre-seed/seed,"NZ generalist, occasional crypto deals",Robbie Paul,Easy Crypto,,Track,K,,verify
Icetea Labs,"Hanoi, Vietnam",Asia,-,Accelerator,Pre-seed/seed,"GameFi incubation, launchpad",Thi Truong,"GameFi.org, Red Kite",,Track,K,,verify
Iconium Blockchain Ventures,"Milan, Italy",Europe,-,Crypto-native VC,Pre-seed/seed,early-stage tokens and blockchain equity,Fabio Pezzotti,,,Track,K
Iconomi,"Ljubljana, Slovenia",Europe,-,Liquid + venture,Multi-stage,"digital asset strategies platform, early token investor","Tim M. Zagar, Jani Valjavec",,,Track,K,,verify
ID Theory,"London, UK",UK,-,Crypto-native VC,Pre-seed/seed,"Thesis-driven crypto, early Bittensor/DeAI tilt",James Brodie,Bittensor (early TAO),,Track,K,,verify
IDB Lab,"Washington DC, USA (LatAm mandate)",Global,-,Development bank VC arm,Seed-Series A,LatAm innovation arm; blockchain and crypto,,Hashdex; LACChain blockchain program,,Track,K
IDEO CoLab Ventures,"San Francisco, USA",US West,-,CVC,Pre-seed/seed,design-led early-stage crypto,"Ian Lee, Dan Elitzer",,,Track,K,,verify
IDG Capital,"Beijing, China",Asia,-,Generalist w/ crypto,Multi-stage,Generalist; early crypto fintech bets,,"Ripple, Circle",,Track,K
Ikigai Asset Management,"Los Angeles, USA",US West,-,Liquid + venture,Seed/A,crypto hedge + venture (FTX-impacted),Travis Kling,,,Track,K,,verify
IMC Trading (strategic),"Amsterdam, Netherlands",Europe,-,strategic (market maker),strategic,market maker; tokenization infrastructure bets,,Digital Asset,,Track,K,,verify
IMM Investment,"Seoul, South Korea",Asia,-,Generalist w/ crypto,Multi-stage,PE/VC with crypto data exposure,,CryptoQuant,,Track,K,,verify
Immutable,"Sydney, Australia",Oceania,-,Ecosystem fund,Seed/A,Web3 gaming on Immutable L2,"Robbie Ferguson, James Ferguson",,~$500M ecosystem fund,Track,K
Immutable Insight,"Munich, Germany",Europe,-,Liquid asset manager,Multi-stage,Blockchain analytics-driven fund (BlockchainFonds),Katharina Gehra,,,Track,K,,verify
Impossible Finance,Singapore,Asia,-,DeFi incubator / launchpad,Seed/IDO,"DeFi incubation, research, launchpad","Calvin Chu (co-founder, ex-Binance)",,,Track,K
In-Q-Tel,"Arlington, USA",US East,-,CVC,Multi-stage,national security strategic; blockchain analytics,,CipherTrace,,Track,K,,verify
Inacta Ventures,"Zug, Switzerland",Europe,-,Venture studio / VC,Pre-seed/Seed,"Web3 venture building, tokenization, Crypto Valley",Ralf Glabischnig (founder),Tokengate; Crypto Oasis ecosystem projects,,Track,K
Inception Capital (fka OP Crypto),"San Francisco, USA",US West,-,Crypto-native VC,Pre-seed/seed,"early-stage web3, US-Asia bridge, FoF",David Gan,,~$50M fund I + $30M FoF,Track,K,,verify
Incrementum,"Schaan, Liechtenstein",Europe,-,Liquid asset manager,Multi-stage,"Gold plus crypto liquid strategies, research",Ronald-Peter Stoeferle,,,Track,K,,verify
Indogen Capital,"Jakarta, Indonesia",Asia,-,VC,seed,SEA VC; The Sandbox Indonesia partner,Chandra Firmanto (managing partner),The Sandbox (country partnership),,Track,K,,verify
Infinita VC,"Próspera, Roatán, Honduras",LatAm,-,VC,Pre-seed/Seed,"bitcoin-friendly charter cities, frontier tech",Niklas Anzinger,,,Track,K,,verify
Infinity Ventures Crypto,"Taipei, Taiwan",Asia,-,Crypto-native VC,Pre-seed/seed,"GameFi, web3 consumer, Asia",,,~$70M Fund I,Track,K,,verify
Initialized Capital,"San Francisco, USA",US West,-,Generalist w/ crypto,Seed/A,"Technical founders, software, early Coinbase backer","Brett Gibson, Jen Wolf, Garry Tan (fmr)",Coinbase,~$700M Fund V,Track,K
Injective (Ecosystem Fund),"New York, USA",NYC,HQ,ecosystem fund,seed-Series A,"finance-focused L1 ecosystem, RWA tilt",Eric Chen,,~$150M,Track,K,,verify
Interactive Brokers (strategic),"Greenwich, USA",US East,-,Brokerage strategic,Growth,Crypto brokerage rails minority stakes,Thomas Peterffy (founder),Zero Hash (2025 round),,Track,K,,verify
Interchain Foundation,"Zug, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,Cosmos stack and IBC funding,Ethan Buchman,"Tendermint, Informal Systems (grants)",,Track,K
Intercontinental Exchange (ICE),"Atlanta, USA",US South,Office,CVC,Growth,exchange operator; strategic digital-asset stakes,Jeff Sprecher,"Bakkt, Coinbase (exited)",,Track,K,,verify
Intudo Ventures,"Jakarta, Indonesia",Asia,-,Generalist w/ crypto,Seed/A,"Indonesia-only, backed crypto exchange Pintu","Patrick Yip, Eddy Chan",Pintu,~$115M Fund III,Track,K
Inversion Capital,"New York, USA",NYC,HQ,crypto-native private equity,buyouts,"acquiring real businesses, moving them onchain",Santiago Roel Santos (ex-ParaFi),,~$26.5M seed (Dragonfly-led),Track,K
Investcorp,"Manama, Bahrain",MEA,Office,Generalist w/ crypto,Multi-stage,alternatives manager; eLydian Lion blockchain fund,Mohammed Alardhi,,~$50B AUM,Track,K,,verify
IOTA Foundation,"Berlin, Germany",Europe,-,Ecosystem fund,Pre-seed/seed,IOTA ecosystem development fund,Dominik Schiener,,,Track,K
Itaú Unibanco (Itaú Digital Assets),"São Paulo, Brazil",LatAm,Verify,Bank (strategic),-,"custody, tokenization, crypto trading arm","Guto Antunes (head, digital assets)",,,Track,K
iTech Capital,"Limassol, Cyprus",Europe,-,VC (growth),Growth,"Growth tech, early Bitfury blockchain backer",Gleb Davidyuk (managing partner),Bitfury,,Track,K,,verify
Iterative Capital,"New York, USA",NYC,HQ,Liquid + venture,Seed/A,Bitcoin mining and infrastructure thesis,"Brandon Buchanan, Chris Dannen",,,Track,K,,verify
IVP,"Menlo Park, USA",US West,-,Generalist w/ crypto,Growth,late-stage; crypto fintech picks,,"TaxBit, Coinbase",~$8.7B AUM,Track,K,,verify
J Ventures (Jay Mart),"Bangkok, Thailand",Asia,-,corporate VC,early stage,JFin Coin issuer; Thai tech/blockchain,Thanawat Lertwattanarak (CEO),JFIN Chain (own),,Track,K,,verify
Jacobi Asset Management,"St Helier, Jersey",UK,-,digital asset manager,n/a (ETF),Europe's first spot bitcoin ETF,"Jamie Khurshid (founder), Martin Bednall (CEO)",,,Track,K
Japan Exchange Group (strategic),"Tokyo, Japan",Asia,-,exchange strategic,strategic,exchange group; security token infrastructure,,Progmat,,Track,K,,verify
JIC Venture Growth Investments,"Tokyo, Japan",Asia,-,Government growth VC (Japan Investment Corp),Growth,Growth rounds incl. digital securities,,ADDX (digital securities exchange),~$1B fund,Track,K,,verify
JPMorgan Chase,"New York, USA",NYC,HQ,CVC,Multi-stage,"wholesale DLT, tokenized settlement, compliance",Umar Farooq,"Partior, TRM Labs, Ownera",,Track,K
Julius Baer,"Zurich, Switzerland",Europe,-,CVC,Growth,crypto private banking via SEBA stake,,SEBA Bank (AMINA),,Track,K
Jump Crypto,"Chicago, USA",US Central,Verify,CVC,Multi-stage,"Crypto infrastructure, protocols, incubation; trading-firm arm",Kanav Kariya (ex-president),"Wormhole, Pyth, Aptos",,Track,K
K3 Ventures,Singapore,Asia,-,Family office,Multi-stage,"Kuok family-linked, tech plus crypto",Kuok Meng Xiong,"FTX, ByteDance",,Track,K,,verify
K33 (fka Arcane Crypto),"Oslo, Norway",Europe,-,Liquid + venture,Liquid,"crypto research, brokerage, BTC treasury",Torbjørn Bull Jenssen,,,Track,K
Kadena Eco,"New York, USA",NYC,HQ,Ecosystem fund,Pre-seed/seed,Kadena chain grants and incubation,Francesco Melpignano,,~$100M grants program,Track,K,,verify
Kakao Games,"Seongnam, South Korea",Asia,-,CVC,Growth,"BORA chain, web3 gaming",,"Way2Bit/BORA (acquired, now METABORA)",,Track,K,,verify
Kakao Ventures,"Seongnam, South Korea",Asia,-,Generalist w/ crypto,Seed/A,early tech incl. blockchain bets,Shina Chung (ex-CEO),"Dunamu (early, as K Cube Ventures)",,Track,K
Kalon Venture Partners,"Johannesburg, South Africa",MEA,-,VC,Late seed-Series A,SA fintech incl digital assets,Clive Butkow (founding CEO),Future Forex (crypto arbitrage fintech),,Track,K,,verify
Karatage,"London, UK",UK,-,Hedge/venture hybrid,Early + liquid,"Crypto and AI startups, funds","Marius Barnett, Stephen Mackintosh","Nof1, Talos, Lit Protocol, Jambo",,Track,K,,verify
karpatkey,"Buenos Aires, Argentina",LatAm,-,DAO treasury manager,Treasury deployment,Non-custodial DAO treasury management in DeFi,,"GnosisDAO, ENS endowment, Balancer treasuries (managed)",~$1B+ managed,Track,K
Kaszek,"Buenos Aires, Argentina",LatAm,-,Generalist w/ crypto,Multi-stage,LatAm tech; co-led Bitso Series B,"Hernan Kazah, Nicolas Szekasy",Bitso,~$1B (2021 funds),Track,K
KB Kookmin Bank (strategic),"Seoul, South Korea",Asia,-,bank strategic investor,strategic,digital asset custody investments,,"KODA (custody JV w/ Hashed, Haechi Labs)",,Track,K
KDDI Open Innovation Fund,"Tokyo, Japan",Asia,-,CVC,Seed/A,"Japan web3, metaverse (alpha-U)",,Animoca Brands Japan,,Track,K,,verify
Kenanga Investment Bank,"Kuala Lumpur, Malaysia",Asia,-,investment bank (strategic),strategic,digital assets; exchange stake,Datuk Chay Wai Leong (group MD),Tokenize Xchange (19% stake),,Track,K,,verify
Kenetic Capital,Hong Kong,Asia,-,Liquid + venture,Seed/A,liquid trading + early-stage venture,Jehan Chu,,,Track,K
Kickstart Ventures (Globe Telecom),"Manila, Philippines",Asia,-,CVC,Seed/A,PH consumer internet; early crypto wallets,Minette Navarrete,Coins.ph,,Track,K,,verify
Kindred Ventures,"San Francisco, USA",US West,-,Generalist w/ crypto,Pre-seed/seed,"Founder-first generalist seed, crypto and consumer","Steve Jang, Kanyi Maqubela",Coinbase,~$100M Fund II,Track,K
King River Capital,"Sydney, Australia",Oceania,-,Generalist w/ crypto,Multi-stage,digital assets fund alongside generalist funds,"Zeb Rice, Chris Barter",Immutable,,Track,K
Kingsway Capital,"London, UK",UK,-,Generalist w/ crypto,Multi-stage,Emerging markets consumer plus bitcoin,Manuel Stotz,River Financial,,Track,K,,verify
KKR,"New York, USA",NYC,HQ,PE,Growth,"buyouts; crypto infra, tokenized funds","Joe Bae, Scott Nuttall",Anchorage Digital (led Series D),~$600B AUM,Track,K
Klaytn Foundation (now Kaia),Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,"Klaytn/Kaia ecosystem growth, Kakao-LINE roots",Sangmin Seo,,,Track,K,,verify
Klumi Ventures,"Abu Dhabi, UAE",MEA,-,VC (ADGM-regulated),Pre-seed/Seed,Regulated web3 token and equity,"Kristiina Lumeste (SEO), Marshall Stephen",,~$100M flagship + $15M seed fund,Track,K
Komorebi Collective,Remote,US Remote,-,Venture DAO,Pre-seed/seed,backing female and nonbinary crypto founders,"Kinjal Shah, Manasi Vora",,,Track,K
Konvoy Ventures,"Denver, USA",US West,-,Gaming VC w/ web3,Seed/A,gaming; ~30% of Fund III to blockchain gaming,"Josh Chapman, Jason Chapman, Jackson Vaughan",Sky Mavis (Axie Infinity),~$270M AUM; $150M Fund III,Track,K
KR1 plc,"London, UK",UK,-,Liquid + venture,Pre-seed/seed,Listed early-stage token network investor,"George McDonaugh, Keld van Schreven","Polkadot, Cosmos, Lido",,Track,K
Krafton,"Seoul, South Korea",Asia,-,CVC,Multi-stage,"NFT/metaverse bets, Settlus chain, Solana tie-up",Kim Chang-han (CEO),"Seoul Auction Blue, XBYBLUE",,Track,K,,verify
Kronos Research,"Taipei, Taiwan",Asia,-,Market maker with venture/incubation arm,"Seed, incubation",Market maker incubating exchange infrastructure,"Jack Tan, Mark Pimentel (co-founders)",WOO Network (incubated),,Track,K
Krungsri Finnovate,"Bangkok, Thailand",Asia,-,corporate VC (Bank of Ayudhya),Series A-B,fintech CVC; led Zipmex round,Sam Tanskul (managing director),Zipmex,~$85M Finnoventure fund,Track,K
Krypital Group,"Miami, USA",US South,-,Crypto-native VC,Pre-seed/seed,"early-stage token projects, incubation, metaverse",Maggie Wu,,~$100M metaverse fund,Track,K,,verify
KuCoin Ventures,Singapore,Asia,-,CVC,Seed/A,"early web3, exchange-strategic",,,~$100M,Track,K
KXVC (KASIKORN X Venture Capital),"Bangkok, Thailand",Asia,-,CVC,Seed/A,"web3, AI, deep tech (KBank)",Krating Poonpol,,~$100M,Track,K,,verify
Kyros Ventures,"Ho Chi Minh City, Vietnam",Asia,-,Crypto-native VC,Pre-seed/seed,"Vietnam web3, media (Coin68)",Thanh Le,,,Track,K
L'Oreal BOLD,"Paris, France",Europe,-,CVC,Seed/A,beauty tech; web3 consumer pilots,,Digital Village,,Track,K,,verify
L2 Iterative Ventures,"San Francisco, USA",US West,-,Crypto-native VC,Seed/A,"blockchain infra, ZK, private compute",Kevin Lee,,,Track,K
L4 Venture Builder,"Sao Paulo, Brazil",LatAm,-,CVC / venture builder (B3),seed-Series B,B3-backed fintech and digital asset CVC,,"Parfin, Vermiculus, Bridgewise",~R$600M,Track,K
Lakestar,"Zurich, Switzerland",Europe,-,Generalist w/ crypto,Multi-stage,"European tech, selective crypto bets",Klaus Hommels,Blockchain.com,,Track,K
Lattice Fund,"San Francisco, USA",US West,Verify,Crypto-native VC,Pre-seed/seed,"early-stage web3, go-to-market operators","Regan Bozman, Mike Zajko","Celestia, Mysten Labs, Espresso Systems",~$60M fund II,Track,K
Lava,Remote,MEA,-,VC,Pre-seed/Seed,"African web3, stablecoins, payments",Yoseph Ayele,,~$11M fund (2024),Track,K,,verify
LBank Labs,Singapore,Asia,-,Exchange venture arm,"Seed-Series A, token",Web3 infrastructure and ecosystem investing,"Czhang Lin (head, LBank Labs)",,,Track,K,,verify
LD Capital,Singapore,Asia,-,Liquid + venture,Multi-stage,Liquid trading plus early venture,Yi Lihua,,,Track,K
Ledger Cathay Capital,"Paris, France",Europe,-,CVC,Seed/A,"Web3 security, infrastructure, hardware-adjacent","Denis Barrier, Pascal Gauthier",,~$110M,Track,K
Lekker Capital,"New York, USA",NYC,Verify,discretionary macro hedge fund,liquid,"crypto macro, tokens plus crypto equities","Quinn Thompson (ex-Maple Finance, Guggenheim)",,~$20M initial raise (2024),Track,K
Leland Ventures,"Denver, USA",US West,-,Liquid + venture,Pre-seed/seed,"crypto hedge fund roots; tokens, mining, early web3",,"Cetus Protocol, zkPass, MYX Finance",,Track,K,,verify
Lemniscap,Hong Kong,Asia,-,Crypto-native VC,Pre-seed/Seed,"Early-stage crypto, emerging cryptoassets",Roderik van der Graaf (founder),"Avalanche (AVA Labs, early backer)",,Track,K
Libertus Capital,"London, UK",UK,-,Crypto-native VC,Pre-seed/seed,"Early-stage blockchain, founder-led bets",Pamir Gelenbe,,,Track,K,,verify
Lightning Ventures,"New York, USA",NYC,HQ,VC / syndicate,Pre-seed–Seed,Bitcoin and Lightning Network payments startups,Michael Jarmuz,"Strike, Breez, Relai, Bitnob",~$10M+ deployed,Track,K
Lightspeed Venture Partners,"Menlo Park, USA",US West,Verify,Generalist w/ crypto,Multi-stage,Lightspeed Faction dedicated blockchain fund,Sam Harrison (Faction),"Blockchain.com, Offchain Labs, FTX (written off)",~$285M Faction fund,Track,K
LinkVC,Singapore,Asia,-,Crypto-native VC,Pre-seed/seed,Early China bitcoin-era fund,Lin Jiapeng,Fantom,,Track,K
Litecoin Foundation,Singapore,Asia,-,Ecosystem foundation,Grants,Litecoin ecosystem nonprofit,Charlie Lee (founder/managing director),,,Track,K
Lloyds Banking Group (strategic),"London, UK",UK,Office,bank strategic,strategic,bank consortium bets on tokenized settlement,,Fnality,,Track,K,,verify
LocalGlobe (Phoenix Court),"London, UK",UK,-,Generalist w/ crypto,Pre-seed/seed,UK pre-seed/seed; crypto custody exposure,"Saul Klein, Robin Klein",Copper,,Track,K,,verify
LongHash Ventures,Singapore,Asia,-,Crypto-native VC,Pre-seed/seed,"Web3 infra fund + accelerator, Filecoin programs","Emma Cui, Shi Khai Wei",Astar,,Track,K
Longling Capital,"Xiamen, China",Asia,-,Family office,Multi-stage,Cai Wensheng FO; large ETH holder,Cai Wensheng,,,Track,K,,verify
Lowercarbon Capital,Remote,US Remote,-,Climate VC,Seed-Growth,Climate tech incl. flare-gas compute,"Chris Sacca, Clay Dumas",Crusoe,~$2B AUM,Track,K,,verify
LSEG (London Stock Exchange Group),"London, UK",UK,Office,CVC,Multi-stage,digital issuance DLT (Nivaura defunct),,Nivaura,,Track,K,,verify
Lumos Labs,"Bengaluru, India",Asia,-,Accelerator,Pre-seed/seed,"web3 accelerators, hackathons, ecosystem building","Kaavya Prasad, Raghu Mohan",,,Track,K
LuneX Ventures,Singapore,Asia,-,Crypto-native VC,Pre-seed/seed,"early crypto, Golden Gate spin-out",Kenrick Drijkoningen,Sparrow Exchange,~$10M Fund I,Track,K
M&G Investments (strategic),"London, UK",UK,-,asset manager (strategic),growth (strategic),asset manager backing regulated digital asset venues,,GFO-X ($30M Series B lead),,Track,K
M12 (Microsoft),"San Francisco, USA",US West,Verify,CVC,Seed/A,enterprise tech; web3 data infra,Michelle Gonzalez,"Space and Time, Palm NFT Studio",,Track,K
M13,"Santa Monica, USA",US West,Office,Generalist w/ crypto,Seed/A,consumer generalist with web3 practice,"Carter Reum, Courtney Reum, Latif Peracha",,~$400M Fund III,Track,K,,verify
Magic Ventures (Magic Eden),"San Francisco, USA",US West,-,CVC,Seed/A,"web3 gaming, NFT ecosystem",Jack Lu,,,Track,K,,verify
Magma Partners,"Santiago, Chile",LatAm,-,VC,Pre-seed/Seed,LatAm fintech; crypto on/off-ramp deals,Nathan Lustig,"Koywe (crypto ramp, reported)",,Track,K,,verify
Magnet Capital,"Sydney, Australia",Oceania,-,Crypto-native VC,Pre-seed/seed,early-stage crypto fund,"Benjamin Celermajer, Egor Sidelska",,,Track,K,,verify
Makers Fund,Singapore,Asia,-,Gaming VC,Seed-Series B,"interactive entertainment VC, selective web3 gaming","Jay Chi, Michael Cheung",Ancient8 (co-led round),~$500M Fund III,Track,K
Maki.vc,"Helsinki, Finland",Europe,-,Generalist w/ crypto,Pre-seed/seed,"deep tech, brand; select web3/stablecoins",Ilkka Kivimäki,Membrane Finance (EUROe),~€100m (Fund II),Track,K
Mangrove Capital Partners,Luxembourg,Europe,-,Generalist w/ crypto,Seed/A,Generalist; early Blockchain.com backer,Mark Tluszcz,Blockchain.com,,Track,K,,verify
Mantle EcoFund,Singapore,Asia,-,Ecosystem fund,Seed/A,"Mantle L2 ecosystem fund, Bybit-linked",,,~$200M,Track,K,,verify
MANTRA Ecosystem Fund (MEF),"Dubai, UAE",MEA,-,ecosystem fund,seed-Series A,RWA tokenization projects on MANTRA Chain,John Patrick Mullin,,~$109M,Track,K
MARA Holdings (strategic),"Fort Lauderdale, USA",US South,-,Miner CVC (strategic),Venture/Growth,Bitcoin miner strategic tech investments,Fred Thiel,Auradine (Series A and C),,Track,K
Mark Cuban Companies (Radical Investments),"Dallas, USA",US Central,-,Family office,Multi-stage,"Crypto, NFT, DeFi angel bets",Mark Cuban,"Polygon, OpenSea, Mintable",,Track,K
Marshall Wace,"London, UK",UK,Office,Crossover hedge fund,Growth,long/short equity; digital asset exposure,"Paul Marshall, Ian Wace",Circle,~$65B AUM,Track,K
MassMutual (strategic),"Springfield, USA",US East,-,Insurer strategic,Growth,Bitcoin treasury plus custody equity stakes,Roger Crandall (CEO),NYDIG ($5M equity stake),~$100M BTC purchase (2020),Track,K
Master Ventures,"Bangkok, Thailand",Asia,-,Venture studio,Pre-seed/seed,Blockchain venture studio and launchpad,Kyle Chassé,,,Track,K,,verify
Mastercard (Start Path Digital Assets),"Purchase, USA",US East,Office,CVC,Seed/A,"digital-asset startup program, strategic stakes",Raj Dhamodharan,"Digital Currency Group, GK8, Mintable",,Track,K
Matrixport Ventures,Singapore,Asia,-,CVC,Seed/A,"crypto financial infra, DeFi",Jihan Wu,,,Track,K,,verify
Mattel,"El Segundo, USA",US West,-,CVC,Seed/A,toy IP digital collectibles,,OnChain Studios (Cryptoys),,Track,K,,verify
Matter Labs / ZKsync Foundation,"Berlin, Germany",Europe,-,Ecosystem fund,Pre-seed/seed,ZKsync Era L2 ecosystem grants,Alex Gluchowski,,,Track,K,,verify
Maverick Silicon,"Dallas, USA",US South,-,Semiconductor growth fund,Series B+,Semiconductors incl. bitcoin mining chips,Andrew Homan,Auradine,,Track,K,,verify
Maximum Frequency Ventures,Remote,US Remote,Verify,VC,pre-seed/seed,"web3 infra, consumer, AI networks; Asia tilt","Mo Shaikh (ex-Aptos Labs CEO), Neil Harounian, Alexandre Tang",6 undisclosed startups ($5M deployed at launch),~$50M Fund I (Oct 2025),Track,K
MCJ Collective,"Boston, USA",US East,-,Climate VC,Seed,Climate tech; backed flare-gas mining,Jason Jacobs,Crusoe,,Track,K,,verify
Mercado Libre (strategic),"Buenos Aires, Argentina",LatAm,-,CVC,Growth,"LatAm payments, crypto exchange stakes",,"Paxos, Mercado Bitcoin (2TM)",,Track,K
Mercy Corps Ventures,"Portland, USA",US West,-,Impact VC (NGO venture arm),Pre-seed–Seed,"Emerging-market fintech, stablecoin payment pilots",Scott Onder,,,Track,K
Merit Circle (now Beam),Remote,Europe,-,Venture DAO,Seed/A,web3 gaming DAO treasury investments,Marco van den Heuvel,,~$105M raised,Track,K,,verify
Merkle Tree Capital,"Sydney, Australia",Oceania,-,Liquid asset manager,Liquid,wholesale crypto managed fund,Ryan McMillin,,,Track,K,,verify
Meta4 Capital,"New York, USA",NYC,Verify,NFT fund,NFT acquisition,blue-chip NFT acquisition,Brandon Buchanan,,~$100M,Track,K,,verify
MetaCartel Ventures,Remote,US Remote,-,Investment DAO,Pre-seed/seed,DAO venture collective (wound down),Peter 'pet3rpan' Pan,"DAOhaus, Rarible",,Track,K,,verify
Metaplanet,"Tallinn, Estonia",Europe,-,Family office,Multi-stage,"deep tech, AI; select crypto",Jaan Tallinn,Argent (co-led Series B),,Track,K
MetaStable Capital,"San Francisco, USA",US West,-,Crypto hedge fund,Liquid tokens,pioneering multi-token crypto hedge fund,"Naval Ravikant, Josh Seims, Lucas Ryan",,,Track,K,,verify
Metaversal,"New York, USA",NYC,Verify,NFT venture studio,Seed/A,NFT collection + venture studio,Yossi Hasson,,~$50M raise (CoinFund-led),Track,K,,verify
Metaverse Group (Tokens.com),"Toronto, Canada",Canada,-,Metaverse investment company,Direct assets,metaverse virtual real estate investing,Andrew Kiguel (Tokens.com CEO),Decentraland estate (record ~$2.4M buy),,Track,K
MEV Capital,"Vilnius, Lithuania",Europe,-,Liquid,Liquid,"DeFi yield, on-chain risk curation","Laurent Bourquin, Gytis Trilikauskis",,,Track,K
MEXC Ventures,Singapore,Asia,-,CVC,Multi-stage,exchange-strategic; large TON ecosystem bets,,TON,,Track,K
MGX,"Abu Dhabi, UAE",MEA,-,Sovereign fund,Growth,AI & digital infrastructure; $2B Binance stake,Ahmed Yahia Al Idrissi,"Binance, OpenAI",~$100B target AUM,Track,K
MHC Digital Group,"Sydney, Australia",Oceania,-,Liquid + venture,Multi-stage,"digital asset markets, funds, advisory",Mark Carnegie,,,Track,K
Miami International Holdings (strategic),"Princeton, USA",US East,Verify,Exchange operator (MIAX) strategic investor,Strategic,Exchange group crypto venue stakes,Thomas Gallagher (Chairman/CEO),EDX Markets,,Track,K,,verify
Michigan Blockchain,"Ann Arbor, USA",US Central,-,Student club fund,Liquid tokens,Student-run ETH portfolio via Dorm DAO,,"Pocket Network (5.5x), Axelar",~40 ETH portfolio,Track,K
Microtraction,"Lagos, Nigeria",MEA,-,Generalist w/ crypto,Pre-seed/seed,Nigerian pre-seed; early crypto backer,"Yele Bademosi, Dayo Koleowo","BuyCoins (Helicarrier), Cowrywise",,Track,K
MiddleGame Ventures,Luxembourg,Europe,-,Fintech VC,Series A/B,"Tokenization, blockchain capital markets fintech","Pascal Bouvier, Michael Meyer, Patrick Pinschmidt","Ripple, Keyrock, fundcraft",~€150M Fund III target,Track,K
Millennium Management,"New York, USA",NYC,HQ,Multi-strat hedge fund,Liquid,multi-strat; bitcoin ETF basis trades,Israel Englander,"IBIT, FBTC (large ETF positions)",~$70B AUM,Track,K
Miller Value Partners,"Baltimore, USA",US East,-,Asset manager crossover,Liquid,value equities; bitcoin/MSTR conviction,Bill Miller IV,"MicroStrategy, GBTC/bitcoin positions",,Track,K
Mina Foundation,"San Francisco, USA",US West,-,Ecosystem fund,Pre-seed/seed,Mina zk ecosystem grants,Evan Shapiro,,,Track,K
Mitsubishi UFJ Capital,"Tokyo, Japan",Asia,-,CVC,Multi-stage,megabank CVC; early bitFlyer backer,,bitFlyer,,Track,K,,verify
MIXI,"Tokyo, Japan",Asia,-,CVC,Growth,consumer internet; exchange stake,,bitbank (minority stake),,Track,K,,verify
MizMaa Ventures,"Tel Aviv, Israel",MEA,-,Generalist w/ crypto,Seed/A,"Israel-China bridge; fintech, blockchain vertical","Isaac Applbaum, Catherine Leung",QEDIT,~$100M Fund I,Track,K
Mizuho Capital,"Tokyo, Japan",Asia,-,CVC,Multi-stage,megabank CVC; early bitFlyer backer,,bitFlyer,,Track,K,,verify
